scenario,model,metric,mean,min,max,folds
unseen,automata,accuracy,0.5126353790613718,0.5126353790613718,0.5126353790613718,1
unseen,automata,precision,0.06382978723404255,0.06382978723404255,0.06382978723404255,1
unseen,automata,recall,0.75,0.75,0.75,1
unseen,automata,f1,0.11764705882352941,0.11764705882352941,0.11764705882352941,1
unseen,lstm,accuracy,0.7251243781094527,0.7251243781094527,0.7251243781094527,1
unseen,lstm,precision,0.08520179372197309,0.08520179372197309,0.08520179372197309,1
unseen,lstm,recall,0.5277777777777778,0.5277777777777778,0.5277777777777778,1
unseen,lstm,f1,0.14671814671814673,0.14671814671814673,0.14671814671814673,1
unseen,gru,accuracy,0.9029850746268657,0.9029850746268657,0.9029850746268657,1
unseen,gru,precision,0.022727272727272728,0.022727272727272728,0.022727272727272728,1
unseen,gru,recall,0.027777777777777776,0.027777777777777776,0.027777777777777776,1
unseen,gru,f1,0.025,0.025,0.025,1
unseen,cnn1d,accuracy,0.6890547263681592,0.6890547263681592,0.6890547263681592,1
unseen,cnn1d,precision,0.08527131782945736,0.08527131782945736,0.08527131782945736,1
unseen,cnn1d,recall,0.6111111111111112,0.6111111111111112,0.6111111111111112,1
unseen,cnn1d,f1,0.14965986394557823,0.14965986394557823,0.14965986394557823,1
