scenario,model,metric,mean,min,max,folds
original,automata,accuracy,0.5486667567770066,0.4828197738860563,0.592283393501805,5
original,automata,precision,0.2935431406757648,0.21691176470588236,0.3734793187347932,5
original,automata,recall,0.20424102880460587,0.11515940143135979,0.2893590541381456,5
original,automata,f1,0.23629054393407573,0.1504462388440289,0.3036238981390793,5
original,lstm,accuracy,0.501176556312889,0.37222844344904815,0.5909607086077674,5
original,lstm,precision,0.36039157659209364,0.32752043596730246,0.39693877551020407,5
original,lstm,recall,0.5065457768450929,0.21219663970130678,0.782042940793754,5
original,lstm,f1,0.3891806749039216,0.26557632398753894,0.48596243183195315,5
original,gru,accuracy,0.6492172858548046,0.6368385191914604,0.6560680698611733,5
original,gru,precision,0.0,0.0,0.0,5
original,gru,recall,0.0,0.0,0.0,5
original,gru,f1,0.0,0.0,0.0,5
original,cnn1d,accuracy,0.4991735082355559,0.34423292273236283,0.619661921708185,5
original,cnn1d,precision,0.3551235187380169,0.30458715596330277,0.45422222222222225,5
original,cnn1d,recall,0.5223087213247655,0.10730446024563671,1.0,5
original,cnn1d,f1,0.3651404335099151,0.1586998087954111,0.5221209050996285,5
gaussian_noise,automata,accuracy,0.6337055046597467,0.618456678700361,0.6464174454828661,5
gaussian_noise,automata,precision,0.3410680610406971,0.3014705882352941,0.3673469387755102,5
gaussian_noise,automata,recall,0.0544312834216756,0.04542626011200996,0.07747395833333333,5
gaussian_noise,automata,f1,0.09342433348594677,0.08052950910093767,0.1278882321332617,5
gaussian_noise,lstm,accuracy,0.5203423752983994,0.4219850102203043,0.5885231316725978,5
gaussian_noise,lstm,precision,0.35647739180509286,0.33539731682146545,0.3921916592724046,5
gaussian_noise,lstm,recall,0.44832975867776204,0.2750466708151836,0.7485928705440901,5
gaussian_noise,lstm,f1,0.38230914067805555,0.30731014904187365,0.4847135047580482,5
gaussian_noise,gru,accuracy,0.6450974278088977,0.635691894312584,0.6557670772676372,5
gaussian_noise,gru,precision,0.06996699669966996,0.0,0.34983498349834985,5
gaussian_noise,gru,recall,0.013802083333333335,0.0,0.06901041666666667,5
gaussian_noise,gru,f1,0.023056008700380642,0.0,0.11528004350190321,5
gaussian_noise,cnn1d,accuracy,0.49466831696268054,0.3531905399375279,0.6558441558441559,5
gaussian_noise,cnn1d,precision,0.19730508638187377,0.0,0.33471181183768417,5
gaussian_noise,cnn1d,recall,0.4315505352822081,0.0,0.865546218487395,5
gaussian_noise,cnn1d,f1,0.2665774625737705,0.0,0.4801864801864802,5
unseen,automata,accuracy,0.5235102652193381,0.47062735535358013,0.5591155234657039,5
unseen,automata,precision,0.3288172514507889,0.2817851582771147,0.38079247817327067,5
unseen,automata,recall,0.34792297871518685,0.2817176317501627,0.4150591163658992,5
unseen,automata,f1,0.33680515210125545,0.28953527248411903,0.37609247251198197,5
unseen,lstm,accuracy,0.5036559750109284,0.36550951847704366,0.5923234158528277,5
unseen,lstm,precision,0.36261685791620735,0.32742440041710114,0.41058394160583944,5
unseen,lstm,recall,0.5190276547466998,0.19539514623522092,0.8529603122966819,5
unseen,lstm,f1,0.39587189446655774,0.24473889321901793,0.4834491213731099,5
unseen,gru,accuracy,0.6492172858548046,0.6368385191914604,0.6560680698611733,5
unseen,gru,precision,0.0,0.0,0.0,5
unseen,gru,recall,0.0,0.0,0.0,5
unseen,gru,f1,0.0,0.0,0.0,5
unseen,cnn1d,accuracy,0.5049677449814224,0.34423292273236283,0.6115573404730031,5
unseen,cnn1d,precision,0.34295785221182185,0.2733644859813084,0.4226415094339623,5
unseen,cnn1d,recall,0.4766083527731088,0.07563025210084033,1.0,5
unseen,cnn1d,f1,0.34361559722230106,0.11848101265822784,0.5121626124625125,5
